





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   21.7000  -6.917148E+05  -1.815925E+06   9.580357E+05  -7.538506E+07   3.648797E+07  -7.330467E+06
   21.8000  -7.934546E+05  -2.000505E+06   9.155880E+05  -7.719315E+07   3.754663E+07  -8.273818E+06
   21.9000  -8.897792E+05  -2.173351E+06   8.662345E+05  -7.852117E+07   3.835999E+07  -9.143688E+06
   22.0000  -9.799314E+05  -2.333272E+06   8.102706E+05  -7.935860E+07   3.891931E+07  -9.933832E+06
   22.1000  -1.063197E+06  -2.479155E+06   7.480403E+05  -7.969801E+07   3.921751E+07  -1.063865E+07
   22.2000  -1.138908E+06  -2.609975E+06   6.799339E+05  -7.953517E+07   3.924928E+07  -1.125321E+07
   22.3000  -1.206454E+06  -2.724802E+06   6.063850E+05  -7.886903E+07   3.901114E+07  -1.177332E+07
   22.4000  -1.265276E+06  -2.822807E+06   5.278682E+05  -7.770177E+07   3.850143E+07  -1.219551E+07
   22.5000  -1.314883E+06  -2.903265E+06   4.448954E+05  -7.603880E+07   3.772038E+07  -1.251706E+07
   22.6000  -1.354845E+06  -2.965566E+06   3.580127E+05  -7.388869E+07   3.667008E+07  -1.273605E+07
   22.7000  -1.384805E+06  -3.009215E+06   2.677964E+05  -7.126316E+07   3.535453E+07  -1.285133E+07
   22.8000  -1.404474E+06  -3.033836E+06   1.748493E+05  -6.817701E+07   3.377958E+07  -1.286256E+07
   22.9000  -1.413639E+06  -3.039179E+06   7.979626E+04  -6.464798E+07   3.195290E+07  -1.277014E+07
   23.0000  -1.412164E+06  -3.025114E+06  -1.671967E+04  -6.069671E+07   2.988398E+07  -1.257529E+07
   23.1000  -1.399985E+06  -2.991641E+06  -1.140421E+05  -5.634655E+07   2.758402E+07  -1.227998E+07
   23.2000  -1.377120E+06  -2.938885E+06  -2.115055E+05  -5.162345E+07   2.506590E+07  -1.188689E+07
   23.3000  -1.343662E+06  -2.867096E+06  -3.084401E+05  -4.655579E+07   2.234410E+07  -1.139945E+07
